"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","627.767494659857","588.621600626764","583.532879950815","590.067615488949","664.028136997677","665.213697281131","701.247129280147","777.792276536505","745.495559549428","753.6583715872","998.453809380221","1072.57513586207","1159.94659642563","1212.03033337367","1265.93977307586","1355.96506087933","1382.46143788763","1583.49505525998","1657.79696465362","1730.59817764052","1854.56900981235","1970.46564357187","2022.562693122","2068.92136919557","2156.03549343148","2232.49551783592","2351.33477451838","2460.09378617844","2530.66118462231","2636.74223474734","2397.62521386117","",
"Botswana","BWA","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","930.539760016112","966.66585466274","1004.2029447698","1159.55470666889","1333.82886043669","1295.9018437124","1348.28188136885","1333.39372688122","1329.74696214924","1404.76723197919","1725.97558314243","1882.19683711375","1981.51846274806","2371.00737576378","2567.11616398874","2829.04723378242","2938.83325320189","2915.08088464211","3104.34620493945","2650.32767602691","2885.38446755026","3165.55268057678","3444.64487223465","3467.84906999787","3638.97420451029","3628.6892531617","3663.54204202463","3185.48675200257","2908.25050593205","2897.74671312689","3361.74262439288","3554.06773861489","3719.4695749056","3507.4649520309","3665.38378976787","3787.56834473094","4607.04540609157","4391.2812056209","4779.58399891187","5344.83969045197","5139.77354817901","5824.4095457226","5562.92499080066","5431.77139303774","5325.69348736707","5080.97808188568","",
"Central African Republic","CAF","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565.76130525808","569.114667504035","544.099558698514","535.887213202769","306.017779743536","293.839667192635","310.248597260153","351.686404841361","333.835262888202","406.027616119673","413.914081653835","386.723764409981","",
"Canada","CAN","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","16985.2488276567","17295.7159338377","18225.8795212537","19308.9546710482","19631.7799591225","19842.9309990449","20699.9313112474","20784.7750570069","21124.471132198","20857.8331478221","20847.8285344615","21621.3524098165","20911.7145828544","21267.5869593578","22202.3524857681","23053.9429434684","23464.8814888682","23936.4948517759","24766.681352319","24971.0891361566","24468.0735020273","23897.9742735641","23499.0515620349","23831.9754079241","24579.3495254607","25245.889381035","25361.5838756326","26313.17673232","26691.2636555712","27922.6925287674","29455.6918819052","29507.2929872037","30109.0441749542","31297.3215908533","32249.102749474","33691.0210658043","34569.6154960907","35300.4367482221","35352.3718817054","32719.4455950737","34259.283882497","35378.5402563541","35535.3376848028","36058.3572519826","36554.6264961964","35263.2340200412","35209.4624645197","36600.8383415556","36630.992421226","37082.0943940318","33872.5174225961","",
"Central Europe and the Baltics","CEB","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4791.54754575321","5000.70462823486","5139.66220432878","5393.22828489224","5481.42493870513","5685.02833265195","5947.93417023329","6245.49226657086","6497.42557979705","6899.29880880769","7395.46956514287","7852.36557118787","8438.78031909475","8927.07311863346","8677.47108699549","8713.80802330347","8908.3676251035","9023.17500853544","9243.09130546138","9617.17978170479","10095.4032702161","10476.8707638863","11055.7973175864","11562.2452544998","12214.2448586236","11906.7114760514","",
"Switzerland","CHE","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55222.3356730119","55428.2799604318","57244.3456943719","59517.3457472216","60237.7554330981","62601.4772668687","60676.3251056542","59489.8124210363","61990.8586955477","62926.5330186394","65813.3675893644","67609.3761614868","64347.4652409631","58903.5630672813","62646.9709656916","68090.9301210486","65170.9587102609","66754.5778778337","66333.4799458866","65439.0417633898","67178.6280202009","65557.50568315","64544.8755562004","63534.2824745293","64142.1530084572","60186.7665065441","",
"Channel Islands","CHI","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","3301.98108750164","3644.14010921977","3682.10882723026","3358.09610777609","2895.05155384866","2240.58738711326","2369.10356581213","2630.53842905617","2780.03187116043","2990.42874981974","3120.07235502744","3271.50502859763","2745.04401576001","2545.14811643673","2415.30481654102","2287.89434206607","2462.24027089625","2703.41104928846","2937.30670401416","3142.60084527567","3236.56159606435","3594.54105821187","4008.33790141619","4230.57474373555","4493.70473224752","5058.78968562522","5219.32526399198","5586.44003370843","5868.9583612274","5762.22542400481","5870.26608523555","6002.99376244284","6120.54838877705","6205.38774319187","6692.13557470503","7203.88496865324","7247.16069424212","7777.50149213583","7847.40146533945","8549.77705363561","8988.63974325191","9577.77359413298","10195.834608648","10521.8052767441","10946.2368754022","11235.7949834151","11112.5780499852","10965.9367501765","10864.7133211727","10959.0863951887","10603.5060366372","",
"China","CHN","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1018.6859498475","1133.97641958228","1229.17770114709","1313.25523951338","1419.88948265768","1542.42877366578","1699.57994534702","1899.80440748603","2106.41163583111","2320.9355946708","2605.52557184687","2970.66053642486","3403.54017571336","3600.87193933382","4045.33921962955","4376.84389567592","4563.03199250814","4997.20939758184","5259.33349208153","5679.46105377567","6039.7431623498","6498.26564322455","6901.07971209894","7143.90841523168","7458.26149804252","7407.19898687637","",
"Cote d'Ivoire","CIV","Adjusted net national income per capita (constant 2015 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933.800893063497","955.955648145599","993.037805532411","808.058675342138","1048.51011100753","1095.32864471105","1264.38497515564","1865.13923875797","1955.64160244811","2024.16591116858","2124.99008550869","2188.39059419061","2112.8107828205","",
